Attribute,Attribute
"URL Alias","URL Alias"
"SEO Filters","SEO Filters"
"SEO Filters configuration is not available for this attribute","SEO Filters configuration is not available for this attribute"
"All (%1) attribute and option aliases were removed.","All (%1) attribute and option aliases were removed."
"Do not use a separator [allweather]","Do not use a separator [allweather]"
"Use ""_"" as a separator [all_weather]","Use ""_"" as a separator [all_weather]"
"Use ""-"" as a separator [all-weather]","Use ""-"" as a separator [all-weather]"
"Use capital letter as a separator [allWeather]","Use capital letter as a separator [allWeather]"
"Store View Label","Store View Label"
"Default (Admin) Label","Default (Admin) Label"
"Short: category/option1-option2-option3","Short: category/option1-option2-option3"
"Long: category/attr1/option1-option2/attr2/option3","Long: category/attr1/option1-option2/attr2/option3"
"Using the hyphen as a word separator has limitations.","Using the hyphen as a word separator has limitations."
"Since the hyphen is used as an option separator, aliases like: ""weight-height"" and single ""weight"" may not be recognized correctly by the SEO filter route handler.","Since the hyphen is used as an option separator, aliases like: ""weight-height"" and single ""weight"" may not be recognized correctly by the SEO filter route handler."
Option,Option
Warning,Warning
"Filter SEO URLs","Filter SEO URLs"
"SEO friendly Layered Navigation URLs","SEO friendly Layered Navigation URLs"
"Enable SEO Friendly URLs","Enable SEO Friendly URLs"
"Activates SEO-friendly URLs for layered navigation. Works with default Magento or Mirasvit Layered Navigation only.","Activates SEO-friendly URLs for layered navigation. Works with default Magento or Mirasvit Layered Navigation only."
"URL Format","URL Format"
"Select the URL format for filters. ""Short"" format displays as category/option1-option2-option3.","Select the URL format for filters. ""Short"" format displays as category/option1-option2-option3."
"Separator for Filter Names","Separator for Filter Names"
"Choose a separator to go between words in complex filter names. For example, ""all-weather"" vs. ""allweather.""","Choose a separator to go between words in complex filter names. For example, ""all-weather"" vs. ""allweather."""
"Use Prefix for Filters","Use Prefix for Filters"
"Optionally, add a prefix before filters in URLs to improve readability.","Optionally, add a prefix before filters in URLs to improve readability."
"Rewrite Alias Source","Rewrite Alias Source"
"Define the source for URL rewrite aliases. Choose between using the store view label or the default store view label for consistency across all views.","Define the source for URL rewrite aliases. Choose between using the store view label or the default store view label for consistency across all views."
