(LogOut),로그아웃
(Log Out),로그아웃
* Required Fields,* 필수항목
*Highlighted fields are mandatory.,*강조표시 항목은 필수입니다.
*Note: You may receive your order in multiple shipments,
%1 %2%:,
%1 and above,%1 이상
%1 Item,%1 상품
%1 Item(s),%1 상품
%1 Items,%1 상품
Items,상품
• Simple payment,• 간편 결제
• Order inquiry,• 주문 조회
• Order details,• 주문 상세 정보
"<a class=""back-link"" href=""%1"">Continue Shopping</a>","<a class=""back-link"" href=""%1"">쇼핑 계속하기</a>"
<a href='%1'>Continue Shopping</a>,<a href='%1'>쇼핑 계속하기</a>
<p>So sad to see you go.</p><p>We hope you’ll be back some time in the future!</p>,<p>안타깝습니다.</p><p>다시오십시오.감사합니다.</p>
14 days free return,14일 이내에 반품
2018 Onitsuka Tiger. All Rights Reserved.,© 2021 Onitsuka Tiger Korea
A confirmation email has been sent to {{email}}.,주문 완료메일을 보내드립니다.
A confirmation email will be sent to,주문 완료메일을 보내드립니다.
About,About
About Onitsuka Tiger,About Onitsuka Tiger
ACCESSORIES,ACCESSORIES
Account ID,계정 아이디
Account Information,계정 정보
Account Types,계정 타입
"Action",""
Add New Address,새 주소 추가
Add to Cart,장바구니에 담기
ADD TO CART,장바구니에 담기
Added To Cart,장바구니에 담기
Additional Remark,추가 설명
Additional remarks,추가 설명
Additional Settings,추가 설정
Address,주소
"Cancel Order","주문취소"
Address ,주소
Address Book,배송지관리
Address Line 1,주소1
Address Line 2,주소2
Address Type,주소 타입
Address type,주소 타입
Address%1,주소
Address1,주소1
Address2,주소2
All mentioned sizes here are in (US),
"All returned item(s) must be in their original condition and packaging, and sent back to us within %1 days of receiving your order.",모든 반품 품목은 원래 상태와 포장 상태 여야하며 주문 수령 후 %1 일 이내에 당사로 반송되어야합니다.
"All returned item(s) must be in their original condition and packaging, and sent back to us within 14 days of receiving your order.","상품포장 미개봉 또한 수령일 기준으로 7일 이내에 웹사이트에서 반품 신청을 한 경우, 14일 이내에 아식스 코리아 물류센터로 반품 상품이 도착되어야 반품이 가능합니다."
Already have an account?,회원이신가요?
Already Registered? Sign in,회원이신가요?로그인
Amount,금액
Amount to pay,총 결제금액
Amount:,금액:
An unspecified error occurred. Please contact us for assistance.,오류가 발생했습니다. 문의 바랍니다.
Apartment,오피스텔
Apply,적용
April,4월
Are you sure you would like to remove this item from the shopping cart?,이 상품을 장바구니에서 삭제하실까요?
ASICS requires this information so that we may provide our services to you and communicate with you. We will handle your personal data in accordance with our privacy policy.,주식회사 아식스코리아는 고객 서비스제공과 고객님과의 연락을 위해 이 정보들이 필요합니다.고객님의 개인정보는 개인정보처리방침님에따라 신중히 취급합니다.
Attention,주의 사항
August,8월
Availability:In Stock,재고: 있음
Availability:In stock,재고: 있음
BAG,장바구니
"Kpostcode","주소 검색"
Basketball,Basketball
"Be the first to hear about new products, exclusive events and online offers.","가장 먼저 신상품, 다양한 혜택과 프로모션에 관한 정보를 받아 보실 수 있습니다."
"Be the first to new products, exclusive events and online offers.","가장 먼저 신상품, 다양한 혜택과 프로모션에 관한 정보를 받아 보실 수 있습니다."
BEST SELLERS,BEST SELLERS
Billing address Use my delivery address,청구주소에 배달주소를 사용
Birthday,생년월일
Business,비즈니스
BUY ALL,전부 구입
Buy All,전부 구입
BUY ALL SELECTED,체크 상품 을 구입
Buy All Selected,체크 상품 을 구입
buy now,바로 구매
Buy now,바로 구매
"Buy One nimbus 19, get one half-off",nimbus 19를 하나 구매하시면 또하나가 50%할인됩니다.
"By clicking below, I confirm that I have read and understand the applicable <a href=""{{privacy_url}}"" target=""_blank"">Privacy Policy</a> and that I agree to ASICS <a href=""{{terms_url}}"" target=""_blank"">Terms and Conditions</a>.","아래를 클릭함으로 <a href=""{{privacy_url}}"" target=""_blank"">개인정보처리방침</a> 을 확인하고 <a href=""{{terms_url}}"" target=""_blank"">이용 약관</a>.에 동의합니다."
